datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
A4,roll_01,mlr,intersection,127,521.8929088976153,666.3777822077642,57.260209980711984,516.352459934917,527.3467883452713,59.05982572481179,55.488713232613705,63,64,684.0501579035852,648.511351908867
A4,roll_01,persistence,intersection,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
A4,roll_01,rf,intersection,127,501.4776025591177,630.6523946918169,48.49873096950731,478.0933340584191,524.4964918644928,50.3437206956669,46.682569207818936,63,64,595.2443605939804,663.6646811524
A4,roll_02,mlr,intersection,138,492.6447794285064,641.072968963755,94.73888472040106,526.8851918561004,463.8828329893274,135.65678952606586,60.36784468364264,63,75,721.384892118209,564.8543159630372
A4,roll_02,persistence,intersection,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
A4,roll_02,rf,intersection,138,498.1802890206072,648.8520657546286,90.4079498560941,608.4288312822007,405.5715135208687,150.89352830909172,39.60006395557612,63,75,803.8483804154497,481.53079054776464
A4,roll_03,mlr,intersection,124,524.2667402850667,662.1962616512174,94.94229045148846,507.50521690813815,541.5778218055011,136.67926958921163,51.836885768266136,63,61,661.4378039592566,662.978675982464
A4,roll_03,persistence,intersection,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
A4,roll_03,rf,intersection,124,492.04355873268713,643.5344101071485,89.10633754528236,552.6241566381714,429.4767117155479,139.85004210102232,36.698904971321376,63,61,711.3125106936969,565.0635369937357
A4,roll_04,mlr,intersection,97,411.6650466149288,566.1869091453849,57.75683628949256,429.4505828156651,371.94401576661744,69.71388943232294,31.052750937171357,67,30,603.5417962850382,472.2096239905392
A4,roll_04,persistence,intersection,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
A4,roll_04,rf,intersection,97,390.1606140930599,567.649739261809,60.379135255748,458.8219846046686,236.8168866171337,78.46694246838187,19.983032480865678,67,30,654.0365942269921,294.1521662648484
B1,roll_01,mlr,intersection,127,493.4045039034738,641.901578514054,47.6121268134002,516.9743292435791,470.2029570843078,53.98465773692944,41.33916668555112,63,64,678.0857837548565,604.1698725981164
