datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_03,persistence,temp_bin,2,92,550.9145958752325,725.8532252353308,101.6086655201884,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,temp_bin,3,8,632.6089271400277,687.1363399747343,138.77996951213683,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,flag_demand_imputed,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,flag_pool_imputed,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,flag_pv_imputed,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,flag_temp_imputed,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,gaplendemandbin,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,gaplenpoolbin,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,gaplenpvbin,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,gaplentempbin,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,imputed_any,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,imputed_count,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,is_daylight,0,61,403.09708088868547,575.2564933829386,34.69731338865134,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,is_daylight,1,63,549.9734176371646,691.6156671936092,150.61882750977244,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,overall,ALL,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pool_on,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pool_switch,0,124,477.7197358496065,637.0360587841617,93.59292136954352,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pv_regime,high,7,835.466927450498,972.7838095381546,184.190727533259,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pv_regime,low,29,528.2155826240189,640.8447086006003,148.99201739534752,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pv_regime,med,19,541.2128546972696,695.7939585148542,182.73289345294668,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,pv_regime,night,69,402.720037939899,572.1642424824315,36.57237213071762,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,temp_bin,1,24,214.18909033258743,300.2895529563837,21.272635798183206,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,temp_bin,2,92,542.8894761206082,696.8947740073739,105.85587599377666,A1..B4_by_ts_target_utc,124
A1,roll_03,rf,temp_bin,3,8,518.8596592841432,659.1611158694013,169.5297999049434,A1..B4_by_ts_target_utc,124
A1,roll_04,mlr,flag_demand_imputed,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,flag_pool_imputed,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,flag_pv_imputed,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,flag_temp_imputed,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,gaplendemandbin,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,gaplenpoolbin,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
A1,roll_04,mlr,gaplenpvbin,0,97,404.98327033020814,569.1523675604146,55.54056603897295,A1..B4_by_ts_target_utc,97
